intake_id,parcel_id,sender_name,recipient_name,weight_kg,service_type,distance_km,shipping_fee,old_status,updated_status
INT-0001,TH00001,พิไล จงสวัสดิ์,ทองดี บุญพูลทรัพย์,9.77,ด่วนพิเศษ (Express),17.3,150.65,รับแล้ว,ส่งสำเร็จ
INT-0002,TH00002,พิไล จงสวัสดิ์,มุนินทร์ บุญพูลทรัพย์,1.76,ธรรมดา,132.4,238.2,รับแล้ว,กำลังส่ง
INT-0003,TH00003,มุนินทร์ ตากลี,พิไล ตากลี,0.88,แช่เย็น (Cold Chain),67.7,152.35,รับแล้ว,รับแล้ว
INT-0004,TH00004,พิไล ตากลี,มุนตา อัศวรุ่งเรืองกิจ,9.04,ธรรมดา,244.7,501.45,รับแล้ว,กำลังส่ง
INT-0005,TH00005,ทองดี ตากลี,ทองดี อัศวรุ่งเรืองกิจ,2.75,ด่วนพิเศษ (Express),287.6,481.9,รับแล้ว,รับแล้ว
INT-0006,TH00006,เรยา บุญพูลทรัพย์,ทองดี ตากลี,12.79,ธรรมดา,185.1,448.55,รับแล้ว,ส่งสำเร็จ
INT-0007,TH00007,มุนตา บุญพูลทรัพย์,พิไล วงศ์เสวต,1.64,แช่เย็น (Cold Chain),95.0,197.9,รับแล้ว,กำลังส่ง
INT-0008,TH00008,พิไล วงศ์เสวต,เรยา อัศวรุ่งเรืองกิจ,1.16,ด่วนพิเศษ (Express),76.1,147.75,รับแล้ว,กำลังส่ง
INT-0009,TH00009,มุนตา จงสวัสดิ์,มุนตา วงศ์เสวต,7.07,ธรรมดา,251.9,479.55,รับแล้ว,ส่งสำเร็จ
INT-0010,TH00010,พิไล ตากลี,เรยา อัศวรุ่งเรืองกิจ,9.33,แช่เย็น (Cold Chain),59.6,209.7,รับแล้ว,รับแล้ว
INT-0011,TH00011,มุนตา วงศ์เสวต,พิไล วงศ์เสวต,14.85,แช่เย็น (Cold Chain),195.6,468.9,รับแล้ว,ส่งสำเร็จ
