intake_id,parcel_id,sender_name,recipient_name,weight_kg,service_type,distance_km,status,shipping_fee
INT-0001,TH00001,ทองดี วงศ์เสวต,ทองดี จงสวัสดิ์,3.74,แช่เย็น (Cold Chain),26.5,รับแล้ว,53.7
INT-0002,TH00002,ทองดี อัศวรุ่งเรืองกิจ,พิไล ตาคลี,0.93,ธรรมดา,58.9,รับแล้ว,55.0
INT-0003,TH00003,พิไล วงศ์เสวต,มุนินทร์ บุญพูลทรัพย์ ,10.67,ด่วนพิเศษ (Express),55.9,รับแล้ว,120.36
INT-0004,TH00004,พิไล จงสวัสดิ์,มุนินทร์ บุญพูลทรัพย์ ,5.43,ธรรมดา,54.6,รับแล้ว,78.44
INT-0005,TH00005,มุตตา วงศ์เสวต,เรณู วงศ์เสวต,12.79,แช่เย็น (Cold Chain),66.9,รับแล้ว,137.32
INT-0006,TH00006,เรยา บุญพูลทรัพย์ ,พิไล วงศ์เสวต,1.64,ด่วนพิเศษ (Express),207.5,รับแล้ว,78.2
INT-0007,TH00007,พิไล จงสวัสดิ์,มุนินทร์ บุญพูลทรัพย์ ,1.16,ธรรมดา,193.5,รับแล้ว,75.8
INT-0008,TH00008,เรยา จงสวัสดิ์,เรณู จงสวัสดิ์,9.72,ด่วนพิเศษ (Express),41.5,รับแล้ว,97.76
INT-0009,TH00009,มุตตา จงสวัสดิ์,มุตตา บุญพูลทรัพย์ ,1.54,แช่เย็น (Cold Chain),43.6,รับแล้ว,42.7
INT-0010,TH00010,ทองดี จงสวัสดิ์,เรณู ตาคลี,14.85,แช่เย็น (Cold Chain),172.4,รับแล้ว,173.8
INT-0011,TH00011,มุนินทร์ บุญพูลทรัพย์ ,เรยา จงสวัสดิ์,12.17,ด่วนพิเศษ (Express),67.7,รับแล้ว,132.36
INT-0012,TH00012,มุนินทร์ อัศวรุ่งเรืองกิจ,มุนินทร์ บุญพูลทรัพย์ ,6.24,แช่เย็น (Cold Chain),115.3,รับแล้ว,84.92
INT-0013,TH00013,มุตตา จงสวัสดิ์,ทองดี อัศวรุ่งเรืองกิจ,4.31,แช่เย็น (Cold Chain),107.7,รับแล้ว,71.55
INT-0014,TH00014,พิไล ตาคลี,มุนินทร์ จงสวัสดิ์,7.66,ธรรมดา,215.4,รับแล้ว,116.28
INT-0015,TH00015,มุนินทร์ บุญพูลทรัพย์ ,ทองดี ตาคลี,1.42,ด่วนพิเศษ (Express),149.4,รับแล้ว,57.1
INT-0016,TH00016,เรณู อัศวรุ่งเรืองกิจ,พิไล วงศ์เสวต,10.38,แช่เย็น (Cold Chain),188.0,รับแล้ว,138.04
INT-0017,TH00017,ทองดี จงสวัสดิ์,มุตตา ตาคลี,7.08,แช่เย็น (Cold Chain),219.1,รับแล้ว,111.64
INT-0018,TH00018,มุตตา อัศวรุ่งเรืองกิจ,พิไล วงศ์เสวต,4.83,แช่เย็น (Cold Chain),127.4,รับแล้ว,74.15
INT-0019,TH00019,มุนินทร์ จงสวัสดิ์,มุนินทร์ อัศวรุ่งเรืองกิจ,13.82,แช่เย็น (Cold Chain),81.7,รับแล้ว,145.56
INT-0020,TH00020,เรยา วงศ์เสวต,มุตตา จงสวัสดิ์,3.99,แช่เย็น (Cold Chain),236.8,รับแล้ว,89.95
INT-0021,TH00021,เรยา บุญพูลทรัพย์ ,เรยา อัศวรุ่งเรืองกิจ,2.36,ด่วนพิเศษ (Express),236.8,รับแล้ว,81.8
INT-0022,TH00022,มุนินทร์ จงสวัสดิ์,พิไล ตาคลี,13.97,แช่เย็น (Cold Chain),172.8,รับแล้ว,166.76
INT-0023,TH00023,ทองดี จงสวัสดิ์,ทองดี บุญพูลทรัพย์ ,6.85,แช่เย็น (Cold Chain),113.4,รับแล้ว,89.8
INT-0024,TH00024,มุนินทร์ จงสวัสดิ์,มุตตา วงศ์เสวต,8.53,แช่เย็น (Cold Chain),55.8,รับแล้ว,103.24
INT-0025,TH00025,เรยา บุญพูลทรัพย์ ,เรยา จงสวัสดิ์,13.63,ด่วนพิเศษ (Express),18.6,รับแล้ว,129.04
INT-0026,TH00026,มุนินทร์ จงสวัสดิ์,เรณู จงสวัสดิ์,2.42,แช่เย็น (Cold Chain),144.5,รับแล้ว,62.1
INT-0027,TH00027,มุนินทร์ ตาคลี,มุนินทร์ วงศ์เสวต,10.06,ด่วนพิเศษ (Express),106.5,รับแล้ว,115.48
INT-0028,TH00028,เรณู บุญพูลทรัพย์ ,ทองดี บุญพูลทรัพย์ ,1.93,ด่วนพิเศษ (Express),182.3,รับแล้ว,79.65
INT-0029,TH00029,เรยา จงสวัสดิ์,มุนินทร์ อัศวรุ่งเรืองกิจ,2.53,ธรรมดา,70.4,รับแล้ว,62.65
INT-0030,TH00030,มุนินทร์ วงศ์เสวต,พิไล วงศ์เสวต,9.96,แช่เย็น (Cold Chain),209.2,รับแล้ว,134.68
INT-0031,TH00031,เรยา จงสวัสดิ์,เรณู ตาคลี,3.6,ด่วนพิเศษ (Express),225.7,รับแล้ว,88.0
INT-0032,TH00032,มุนินทร์ ตาคลี,เรณู จงสวัสดิ์,4.64,แช่เย็น (Cold Chain),239.4,รับแล้ว,93.2
INT-0033,TH00033,พิไล บุญพูลทรัพย์ ,มุนินทร์ จงสวัสดิ์,3.66,ธรรมดา,145.2,รับแล้ว,68.3
INT-0034,TH00034,พิไล วงศ์เสวต,เรยา วงศ์เสวต,7.41,แช่เย็น (Cold Chain),40.2,รับแล้ว,79.28
INT-0035,TH00035,พิไล วงศ์เสวต,เรยา อัศวรุ่งเรืองกิจ,10.29,ธรรมดา,101.5,รับแล้ว,117.32
INT-0036,TH00036,พิไล จงสวัสดิ์,พิไล วงศ์เสวต,1.69,แช่เย็น (Cold Chain),146.3,รับแล้ว,58.45
INT-0037,TH00037,พิไล จงสวัสดิ์,มุนินทร์ บุญพูลทรัพย์ ,3.96,ด่วนพิเศษ (Express),33.6,รับแล้ว,54.8
INT-0038,TH00038,ทองดี จงสวัสดิ์,มุตตา วงศ์เสวต,7.15,แช่เย็น (Cold Chain),249.0,รับแล้ว,112.2
INT-0039,TH00039,เรยา อัศวรุ่งเรืองกิจ,พิไล จงสวัสดิ์,14.03,ธรรมดา,219.9,รับแล้ว,167.24
INT-0040,TH00040,มุตตา จงสวัสดิ์,เรณู อัศวรุ่งเรืองกิจ,9.37,แช่เย็น (Cold Chain),132.7,รับแล้ว,109.96
INT-0041,TH00041,ทองดี อัศวรุ่งเรืองกิจ,ทองดี วงศ์เสวต,4.33,ธรรมดา,185.9,รับแล้ว,91.65
INT-0042,TH00042,มุนินทร์ จงสวัสดิ์,พิไล จงสวัสดิ์,3.45,แช่เย็น (Cold Chain),213.4,รับแล้ว,87.25
INT-0043,TH00043,พิไล ตาคลี,เรยา วงศ์เสวต,6.64,ด่วนพิเศษ (Express),12.0,รับแล้ว,63.12
INT-0044,TH00044,มุตตา จงสวัสดิ์,มุตตา จงสวัสดิ์,8.5,ด่วนพิเศษ (Express),140.7,รับแล้ว,103.0
INT-0045,TH00045,เรยา วงศ์เสวต,พิไล วงศ์เสวต,8.95,ธรรมดา,108.0,รับแล้ว,106.6
INT-0046,TH00046,เรยา จงสวัสดิ์,เรยา จงสวัสดิ์,10.39,แช่เย็น (Cold Chain),26.6,รับแล้ว,103.12
INT-0047,TH00047,พิไล ตาคลี,ทองดี จงสวัสดิ์,13.04,ธรรมดา,220.5,รับแล้ว,159.32
INT-0048,TH00048,เรยา จงสวัสดิ์,เรณู บุญพูลทรัพย์ ,4.37,แช่เย็น (Cold Chain),27.9,รับแล้ว,56.85
INT-0049,TH00049,เรยา ตาคลี,มุนินทร์ ตาคลี,4.93,ธรรมดา,56.5,รับแล้ว,74.65
INT-0050,TH00050,ทองดี จงสวัสดิ์,มุตตา จงสวัสดิ์,14.52,ด่วนพิเศษ (Express),88.4,รับแล้ว,151.16
INT-0051,TH00051,พิไล ตาคลี,มุตตา วงศ์เสวต,13.22,ด่วนพิเศษ (Express),45.5,รับแล้ว,125.76
INT-0052,TH00052,มุตตา วงศ์เสวต,พิไล ตาคลี,11.06,ด่วนพิเศษ (Express),109.7,รับแล้ว,123.48
INT-0053,TH00053,พิไล วงศ์เสวต,พิไล จงสวัสดิ์,1.14,ด่วนพิเศษ (Express),1.4,รับแล้ว,30.7
INT-0054,TH00054,พิไล บุญพูลทรัพย์ ,มุตตา ตาคลี,14.26,ด่วนพิเศษ (Express),156.2,รับแล้ว,169.08
INT-0055,TH00055,ทองดี วงศ์เสวต,พิไล จงสวัสดิ์,6.42,ด่วนพิเศษ (Express),174.6,รับแล้ว,106.36
INT-0056,TH00056,พิไล จงสวัสดิ์,เรณู บุญพูลทรัพย์ ,10.32,ธรรมดา,154.3,รับแล้ว,137.56
INT-0057,TH00057,มุตตา ตาคลี,เรยา จงสวัสดิ์,3.55,แช่เย็น (Cold Chain),152.1,รับแล้ว,87.75
INT-0058,TH00058,มุตตา ตาคลี,เรณู บุญพูลทรัพย์ ,7.91,แช่เย็น (Cold Chain),43.3,รับแล้ว,83.28
INT-0059,TH00059,เรยา จงสวัสดิ์,ทองดี บุญพูลทรัพย์ ,5.36,ธรรมดา,168.5,รับแล้ว,97.88
INT-0060,TH00060,มุนินทร์ จงสวัสดิ์,เรยา วงศ์เสวต,14.77,แช่เย็น (Cold Chain),212.6,รับแล้ว,173.16
INT-0061,TH00061,เรยา ตาคลี,ทองดี อัศวรุ่งเรืองกิจ,10.92,ด่วนพิเศษ (Express),124.1,รับแล้ว,122.36
INT-0062,TH00062,มุนินทร์ จงสวัสดิ์,ทองดี วงศ์เสวต,11.79,ธรรมดา,44.8,รับแล้ว,114.32
INT-0063,TH00063,ทองดี อัศวรุ่งเรืองกิจ,เรยา อัศวรุ่งเรืองกิจ,13.8,ธรรมดา,114.7,รับแล้ว,145.4
INT-0064,TH00064,เรณู บุญพูลทรัพย์ ,พิไล อัศวรุ่งเรืองกิจ,14.28,ด่วนพิเศษ (Express),153.6,รับแล้ว,169.24
INT-0065,TH00065,ทองดี อัศวรุ่งเรืองกิจ,พิไล ตาคลี,11.28,ด่วนพิเศษ (Express),113.1,รับแล้ว,125.24
INT-0066,TH00066,มุนินทร์ บุญพูลทรัพย์ ,พิไล ตาคลี,3.97,ด่วนพิเศษ (Express),20.3,รับแล้ว,54.85
INT-0067,TH00067,มุตตา จงสวัสดิ์,มุตตา จงสวัสดิ์,1.67,ธรรมดา,58.6,รับแล้ว,58.35
INT-0068,TH00068,ทองดี จงสวัสดิ์,เรยา ตาคลี,5.3,ด่วนพิเศษ (Express),104.5,รับแล้ว,77.4
INT-0069,TH00069,มุนินทร์ ตาคลี,พิไล บุญพูลทรัพย์ ,12.92,แช่เย็น (Cold Chain),95.7,รับแล้ว,138.36
INT-0070,TH00070,เรยา จงสวัสดิ์,เรณู ตาคลี,11.34,แช่เย็น (Cold Chain),200.2,รับแล้ว,145.72
INT-0071,TH00071,มุนินทร์ ตาคลี,มุตตา ตาคลี,0.92,ด่วนพิเศษ (Express),167.5,รับแล้ว,75.0
INT-0072,TH00072,เรณู บุญพูลทรัพย์ ,เรณู จงสวัสดิ์,8.24,ด่วนพิเศษ (Express),148.4,รับแล้ว,100.92
INT-0073,TH00073,ทองดี วงศ์เสวต,ทองดี ตาคลี,13.07,ธรรมดา,13.5,รับแล้ว,114.56
INT-0074,TH00074,เรณู จงสวัสดิ์,เรณู จงสวัสดิ์,11.54,ด่วนพิเศษ (Express),70.3,รับแล้ว,127.32
INT-0075,TH00075,เรณู จงสวัสดิ์,เรณู วงศ์เสวต,1.26,ด่วนพิเศษ (Express),56.8,รับแล้ว,56.3
INT-0076,TH00076,เรยา บุญพูลทรัพย์ ,เรยา จงสวัสดิ์,12.67,แช่เย็น (Cold Chain),38.9,รับแล้ว,121.36
INT-0077,TH00077,มุนินทร์ ตาคลี,เรยา อัศวรุ่งเรืองกิจ,7.24,ด่วนพิเศษ (Express),192.0,รับแล้ว,112.92
INT-0078,TH00078,มุนินทร์ อัศวรุ่งเรืองกิจ,ทองดี บุญพูลทรัพย์ ,11.78,ธรรมดา,241.2,รับแล้ว,149.24
INT-0079,TH00079,เรยา อัศวรุ่งเรืองกิจ,มุตตา อัศวรุ่งเรืองกิจ,6.25,แช่เย็น (Cold Chain),50.4,รับแล้ว,85.0
INT-0080,TH00080,พิไล บุญพูลทรัพย์ ,มุนินทร์ วงศ์เสวต,12.83,แช่เย็น (Cold Chain),201.6,รับแล้ว,157.64
INT-0081,TH00081,พิไล วงศ์เสวต,พิไล ตาคลี,5.87,แช่เย็น (Cold Chain),162.2,รับแล้ว,101.96
